original_author_name,year,type,MAGID
Peter Elias,1994,1,1986414534
Peter Freeman,2000,1,2153265399
Peter G. Neumann,1994,1,2129006352
Peter Hart,2003,1,3038074963
Peter J. Denning,1994,1,2069086639
Peter J. Haas,2013,1,2118460571
Peter Key,2011,1,2311465718
Peter L. Bartlett,2018,1,1849627065
Peter Lee,2004,1,2674525774
Peter M. Chen,2010,1,2101505567
Peter Magnusson,2011,1,2476504478
Peter Norvig,2006,1,2686285044
Peter P. Chen,1998,1,2120113151
Peter Stone,2020,1,2147180669
Peter W. O'Hearn,2024,1,188470835
Peter W. Shor,2019,1,368308055
Peter Wegner,1995,1,2024290158
Peter Widmayer,1997,1,70450096
Philip A. Bernstein,2001,1,2304774990
Philip Heidelberger,1996,1,2244447445
Philip M. Lewis,1999,1,2297443377
Philip N. Klein,2010,1,2109669342
Philip R. Cohen,2019,1,2428396799
Philip S. Yu,1997,1,2125104194
Philip Wadler,2007,1,2060729710
Phillip B. Gibbons,2006,1,2144092273
Phoebe Sengers,2023,1,223531715
Phokion G. Kolaitis,2005,1,720019886
Pierangela Samarati,2021,1,2087987499
Pierre Baldi,2012,1,2060797211
Piotr Indyk,2015,1,22135093
Prabhakar Raghavan,2001,1,2195048431
Pradeep Dubey,2023,1,2356469463
Prakash Panangaden,2020,1,2216498992
Prashant Shenoy,2019,1,2129693715
Premkumar Devanbu,2018,1,1481757371
Prithviraj Banerjee,2000,1,2004361871
Qi Tian,2024,1,2102216805
Qiang Yang,2017,1,2109031554
Rachid Guerraoui,2012,1,115057321
Rada Mihalcea,2019,1,2068190112
Radhika Nagpal,2020,1,2151774571
Radu Marculescu,2022,1,158891262
Rafael Pass,2022,1,2091057165
Rafail Ostrovsky,2021,1,1482108584
Raghu Ramakrishnan,2001,1,2164040783
Raj Jain,1996,1,2157313770
Raj Reddy,2012,1,2149385398
Rajeev Alur,2007,1,689646243
Rajeev Motwani,2007,1,2034912444
Rajeev Rastogi,2012,1,2651564987
Rajesh Gupta,2016,1,2180675385
Rajiv Gupta,2009,1,2104865906
Rakesh Agrawal,2003,1,2439481350
Ralf Steinmetz,2001,1,2238793978
Ram D. Sriram,2023,1,1989250364
Ramakrishnan Srikant,2014,1,2069583943
Ramanathan V. Guha,2015,1,2302699734
Ramesh Govindan,2011,1,2102043890
Ramesh Jain,2003,1,2133201272
Ramesh K. Sitaraman,2019,1,261571608
Ramin Zabih,2012,1,2040103212
Ran Canetti,2020,1,687553606
Randal E. Bryant,2000,1,2472051909
Randy H. Katz,1996,1,2246122413
Randy Pausch,2007,1,2139439197
Ranjit Jhala,2021,1,2068611990
Ranveer Chandra,2022,1,2128927081
Rasmus Pagh,2024,1,1864519460
Rastislav Bodik,2018,1,1115548098
Ravi Kannan,2016,1,2187777059
Ravi Kumar,2020,1,2559411768
Ravi Ramamoorthi,2017,1,2146115641
Ravi Sandhu,2001,1,1996714504
Ravi Sethi,1996,1,2239086285
Ravishankar Iyer,2001,1,2122615330
Ray Kurzweil,1994,1,2696445795
Raymond A. Lorie,2000,1,2255242933
Raymond J. Mooney,2010,1,2167433806
Raymond Reiter,1997,1,2162621422
Reinhard Wilhelm,2000,1,2127844901
Remzi H. Arpaci-Dusseau,2020,1,74145742
René Vidal,2022,1,2155853947
Ricardo Baeza-Yates,2009,1,528588921
Ricardo Bianchini,2016,1,2169611794
Richard A. Kemmerer,1997,1,233538037
Richard D. Schlichting,2001,1,2606028354
Richard E. Ladner,1995,1,1505021651
Richard E. Nance,1996,1,2136233962
Richard E. Schantz,2004,1,217083922
Richard F. Lyon,2010,1,2652370983
Richard Hull,2007,1,2157269769
Richard J. Cole,1998,1,2152729312
Richard J. Fateman,1999,1,36891908
Richard M. Fujimoto,2017,1,2108052934
Richard M. Karp,1994,1,1964658237
Richard N. Taylor,1998,1,2113585066
Richard P. Brent,1995,1,2136191845
Richard R. Muntz,1996,1,2033368653
Richard Szeliski,2008,1,1989985383
Richard T. Snodgrass,1999,1,699078101
Rick Stevens,2020,1,2618893480
Rina Dechter,2013,1,294129211
Rob A. Rutenbar,2008,1,262909221
Robbert van Renesse,2009,1,2109217526
Robert A. Kowalski,2001,1,2228449327
Robert B. Schnabel,2010,1,2021942052
Robert Cartwright,1998,1,2305176596
Robert E. Kahn,2001,1,2610176178
Robert E. Kraut,2011,1,1975391153
Robert E. Tarjan,1994,1,350567680
Robert Harper,2005,1,2147215243
Robert J. K. Jacob,2016,1,673017202
Robert Kleinberg,2021,1,2006104002
Robert L. Glass,1999,1,2132308597
Robert L. Grossman,2016,1,3167806524
Robert M. Graham,1996,1,2111892302
Robert Morris,2014,1,2270424441
Robert Ross,2021,1,2135752517
Robert Schreiber,2012,1,2131448496
Robert Sedgewick,1997,1,889684952
Robert Todd Constable,1995,1,2089533834
Robert W. Floyd,1994,1,2011551863
Robert W. Taylor,1994,1,2099649649
Robert Wilensky,1997,1,1973589771
Roberto Tamassia,2012,1,237969062
Robin R. Murphy,2019,1,2117700858
Robin Williams,2000,1,2149195424
Roch Guerin,2006,1,1992892501
Rodney A. Brooks,2005,1,2288122487
Rodney G. Downey,2007,1,1127475603
Roger B. Dannenberg,2023,1,128335373
Roger M. Needham,1994,1,2467977717
Rolf Drechsler,2023,1,2132216446
Ron Graham,1999,1,2156312790
Ron Shamir,2012,1,2100036403
Ronald F. Boisvert,2019,1,2232904012
Ronald Fagin,2000,1,2103086064
Ronald J. Brachman,1999,1,1956695822
Ronald L. Rivest,1994,1,695545146
Ronald M. Baecker,2011,1,107632699
Ronald M. Kaplan,1994,1,2580496752
Ronitt Rubinfeld,2014,1,1534604502
Rosalind W. Picard,2021,1,687641213
Roy Rada,1995,1,2148854578
Roy Want,2005,1,2423577896
Ruby B. Lee,2001,1,2331811076
Rudrapatna K. Shyamasundar,2009,1,2169216096
Ruzena Bajcsy,1996,1,1601293841
Ryen W. White,2021,1,2096583854
S. Muthukrishnan,2010,1,3160061748
S. Sitharama Iyengar,2001,1,2326873480
Sachin S. Sapatnekar,2016,1,2157196917
Salil Vadhan,2018,1,173843361
Sally Floyd,2001,1,2164767595
Salvatore J. Stolfo,2019,1,2021877992
Sam H. Noh,2020,1,2571969136
Saman Amarasinghe,2019,1,2083359406
Samir Khuller,2022,1,2159856632
Sampath Kannan,2013,1,2128447696
Samson Abramsky,2014,1,2147258895
Samuel Madden,2020,1,2139913828
Sandhya Dwarkadas,2018,1,19214967
Sandy Irani,2022,1,2100980789
Sanjay Ghemawat,2020,1,2575315241
Sanjeev Arora,2008,1,2159007752
Sanjeev Khanna,2018,1,2242803124
Sanjit A. Seshia,2020,1,260128524
Santosh Vempala,2015,1,2045140648
Sara Kiesler,2010,1,729699849
Sarit Kraus,2014,1,2122497617
Sarita V. Adve,2010,1,2346116799
Sartaj Sahni,1996,1,2097687781
Satish Chandra,2024,1,2144137030
Satish Rao,2013,1,2108675760
Satoshi Matsuoka,2011,1,2164966972
Saul Greenberg,2012,1,2120666348
Scott A. Smolka,2021,1,2212808945
Scott Aaronson,2019,1,2096229648
Scott Hudson,2024,1,2171298838
Scott Kirkpatrick,2011,1,2178148597
Scott Mahlke,2020,1,2171934779
Scott Shenker,2003,1,719828399
Sebastian Elbaum,2022,1,262280937
Serge Abiteboul,2011,1,172400696
Sethuraman Panchanathan,2020,1,2055909567
Sh Chang,2017,1,2635506434
Shafi Goldwasser,2017,1,1728759264
Shahid H. Bokhari,2000,1,2310474497
Shai Ben-David,2023,1,2151264347
Shamkant B. Navathe,2014,1,2065325028
Shang-Hua Teng,2009,1,2103844955
Sharad Malik,2014,1,2156970971
Sharad Mehrotra,2023,1,2201039448
Sharon Oviatt,2016,1,2669286322
Shaz Qadeer,2021,1,1985363956
Sheila A. McIlraith,2019,1,2047359151
Shlomo Zilberstein,2021,1,348962114
Shmuel Winograd,1994,1,2157771162
Shuicheng Yan,2020,1,2144833106
Shumin Zhai,2010,1,2235212685
Shwetak N. Patel,2016,1,2127286128
Silvio Micali,2017,1,699581604
Simon Jones,2004,1,2142246817
Simon S. Lam,1998,1,2142037325
Simson L. Garfinkel,2012,1,2583112299
Somesh Jha,2016,1,2193269139
Songwu Lu,2019,1,2126325751
Srdjan Capkun,2019,1,2144410870
Srinivas Aluru,2020,1,672311968
Srinivas Devadas,2014,1,855547412
Srinivasan Keshav,2012,1,2283071955
Srinivasan Seshan,2019,1,2093924322
Sriram K. Rajamani,2015,1,2083764764
Stamatis Vassiliadis,2004,1,1992265184
Stanley B. Zdonik,2006,1,431165649
Stefan Saroiu,2023,1,2232173907
Stefan Savage,2010,1,2171030022
Stefano Ceri,2013,1,519054157
Stefano Leonardi,2024,1,2155997025
Stefano Soatto,2022,1,343589990
Steffen Staab,2023,1,1941402522
Stephen A. Cook,2008,1,2098910421
Stephen Bourne,2005,1,2140034527
Stephen M. Blackburn,2016,1,2146610949
Stephen M. Trimberger,2010,1,1992393524
Stephen Robertson,2013,1,2129454193
Stephen W. Keckler,2011,1,1756148094
Steve Marschner,2021,1,1992278322
Steve Whittaker,2014,1,2119343948
Steven D. Gribble,2020,1,2044013107
Steven Feiner,2018,1,252695556
Steven H. Low,2020,1,2097134209
Steven Hand,2017,1,2140572436
Steven L. Scott,2012,1,2104578552
Steven M. Seitz,2017,1,2134777055
Stuart H. Zweben,1998,1,2144599573
Stuart K. Card,2000,1,614907589
Stuart M. Shieber,2014,1,1985347978
Stuart Russell,2003,1,3174817764
Subbarao Kambhampati,2019,1,1354405940
Subhash Suri,2010,1,2133221332
Subhasish Mitra,2014,1,2118856850
Sudip Misra,2024,1,2156828734
Sudipta Sengupta,2016,1,2104281610
Sudipto Guha,2024,1,2135063632
Suman Banerjee,2020,1,3209567881
Sumi Helal,2022,1,2052291672
Sumit Gulwani,2023,1,310804771
Sung Min Kang,2001,1,2136829028
Sunita Sarawagi,2021,1,156875573
Surajit Chaudhuri,2005,1,2163909284
Susan B. Davidson,2001,1,2097328450
Susan Dray,2017,1,1643225831
Susan J. Eggers,2002,1,2649744027
Susan L. Graham,1994,1,2138159208
Susan Landau,2011,1,2952127064
Susan S. Owicki,1994,1,2019529423
Susan T. Dumais,2006,1,676500258
Susanne Bodker,2024,1,1855116395
Susanne E. Hambrusch,2020,1,2133492747
Sushil Jajodia,2021,1,2056441798
Sven Koenig,2020,1,2130082723
Szymon Rusinkiewicz,2021,1,1936126667
T. V. Lakshman,2005,1,2030993420
Tajana Rosing,2021,1,1977760478
Takao Nishizeki,1996,1,224253159
Takeo Kanade,1999,1,2140539176
Tal Rabin,2017,1,2131142900
Tamal K. Dey,2018,1,2104811583
Tamara G. Kolda,2019,1,2139651035
Tandy Warnow,2015,1,665054654
Tanzeem Choudhury,2021,1,2345003782
Tao Jiang,2007,1,2619659646
Tao Xie,2021,1,1920070090
Tarek Abdelzaher,2019,1,1970017610
Tei-Wei Kuo,2015,1,2130848692
Terry Winograd,2009,1,2091637845
Tetsuo Asano,2001,1,2111668054
Thad Starner,2024,1,2038762803
Thomas A. DeFanti,1994,1,2034849075
Thomas A. Henzinger,2006,1,2707196735
Thomas Anderson,2005,1,2148869393
Thomas Ball,2011,1,2121300700
Thomas Dean,2009,1,2053515084
Thomas Eiter,2020,1,420267153
Thomas Erickson,2009,1,2183602536
Thomas Funkhouser,2018,1,2136189631
Thomas G. Dietterich,2002,1,160031478
Thomas Lengauer,2021,1,128580411
Thomas Reps,2005,1,341386833
Thomas Zimmermann,2021,1,2014339847
Thorsten Joachims,2014,1,245171893
Tian He,2018,1,2151189342
Tie-Yan Liu,2021,1,2108341226
Tim Berners-Lee,2023,1,2308609296
Tim Finin,2018,1,2066282134
Tim J. Menzies,2024,1,2236230523
Tim Roughgarden,2023,1,125590419
Timothy A. Davis,2014,1,2106676096
Timothy C. Y. Chan,2019,1,2264067581
Timothy Mark Pinkston,2019,1,32065925
Timothy Roscoe,2013,1,1981466420
Toby Walsh,2020,1,2156731892
Todd C. Mowry,2016,1,40863599
Tom Hull,1994,1,2740085907
Tom Leighton,2018,1,2128744112
Tom Rodden,2014,1,1980670276
Tomás Lozano-Pérez,2017,1,187031812
Toniann Pitassi,2018,1,672707272
Tony Hoare,2020,1,2159147199
Torsten Hoefler,2022,1,262156611
Toshihide Ibaraki,1999,1,2110223873
Tova Milo,2012,1,1983463915
Tracy Camp,2012,1,2164180442
Trent Jaeger,2023,1,2181741781
Trevor Mudge,2016,1,1968937847
Tuomas Sandholm,2008,1,2070867630
Ueli Maurer,2015,1,2068596995
Umesh Vazirani,2005,1,391723092
Umeshwar Dayal,2008,1,689294964
Uri Weiser,2005,1,668875075
Usama M. Fayyad,2006,1,2098423198
Uzi Vishkin,1996,1,37726087
Val Tannen,2013,1,599151389
Valerie King,2014,1,2126031951
Valerie Taylor,2016,1,2105362179
Vaughan R. Pratt,1997,1,2120476038
Vaughn Betz,2023,1,2081159056
Venkata N. Padmanabhan,2016,1,2039246148
Venkatesan Guruswami,2017,1,148409839
Venu Govindaraju,2009,1,2102146905
Vern Paxson,2006,1,716133098
Vicki L. Hanson,2004,1,2114468277
Victor R. Basili,1997,1,2011353662
Victor Vianu,2006,1,152493642
Vijay V. Vazirani,2005,1,2012704994
Vijaykrishnan Narayanan,2014,1,2228173237
Vikram Adve,2014,1,1990061224
Viktor K. Prasanna,2007,1,2088826626
Vincent Conitzer,2019,1,24490792
Vineet Bafna,2023,1,2028184273
Vinton G. Cerf,1994,1,2029905547
Vipin Kumar,2005,1,2161062602
Vishal Misra,2018,1,2202840633
Vishwani D. Agrawal,2002,1,2146318055
Vivek Sarkar,2008,1,2164197688
Volker Markl,2020,1,1963964406
W. Bruce Croft,1997,1,2127889770
Walter F. Tichy,2012,1,2074083528
Walter Willinger,2005,1,515099556
Wang Yi,2020,1,2124415778
Wang-Chiew Tan,2015,1,2175253844
Watts S. Humphrey,2008,1,2079950874
Wei Chen,2024,1,2527738285
Wei Wang,2020,1,3046105733
Wei-Ying Ma,2023,1,2134693834
Wen Gao,2013,1,2121069363
Wen-mei W. Hwu,2002,1,1183556006
Wendi Heinzelman,2018,1,2205751461
Wendy A. Kellogg,2002,1,2079158144
Wendy E. Mackay,2019,1,1925449899
Wendy Hall,2010,1,2169720894
Wenfei Fan,2012,1,2132396280
Wenjing Lou,2023,1,2170816905
Wenke Lee,2017,1,2155626625
Wenliang Du,2023,1,2159870315
Wenping Wang,2021,1,2118099990
Wenwu Zhu,2022,1,2111511002
Whitfield Diffie,2020,1,2307656538
Wil M. P. van der Aalst,2020,1,270949118
William A. Wulf,1994,1,2257274423
William Buxton,2008,1,2326945342
William Gropp,2006,1,293862447
William H. Sanders,2003,1,2280265749
William J. Dally,2002,1,2037541505
William Kahan,1994,1,2053339767
William T. Freeman,2016,1,2112716162
Willy Zwaenepoel,2000,1,2290999210
Witold Litwin,2001,1,1969171325
Won Kim,1995,1,2805878597
Xavier Leroy,2015,1,2780386900
Xiang-Yang Li,2019,1,2111415347
Xiangyang Li,2019,1,2689064213
Xiaobo Sharon Hu,2021,1,2101761700
Xiaodong Zhang,2012,1,2289224247
Xiaotie Deng,2008,1,2134590396
Xilin Chen,2019,1,2099541584
Xing Xie,2023,1,2125800575
Xuedong Huang,2016,1,2153189671
Yale N. Patt,2001,1,127822908
Yan Liu,2021,1,2240541904
Yann LeCun,2023,1,2053214915
Yannis Ioannidis,2004,1,435837623
Yao-Wen Chang,2020,1,2109890010
Yi Ma,2017,1,2145586907
Yi-Bing Lin,2003,1,2141485328
Yingying Chen,2023,1,2163180513
Yiran Chen,2020,1,3175291849
Yishay Mansour,2014,1,2078633956
Yizhou Yu,2022,1,2343472808
Yoav Shoham,2012,1,2112924421
Yoelle Maarek,2013,1,262608878
Yolanda Gil,2016,1,2145802646
Yong Rui,2017,1,2130014478
Yorick Wilks,2009,1,2073488377
Yoshua Bengio,2023,1,161269817
Yossi Matias,2009,1,1874579918
Yuan Xie,2019,1,2095844698
Yuanyuan Zhou,2013,1,2277525723
Yufei Tao,2020,1,2131082813
Yuguang Fang,2022,1,2156348848
Yunhao Liu,2015,1,2130996983
Yuri Breitbart,2001,1,1985207418
Yuri Gurevich,1997,1,2154094381
Yvonne Rogers,2017,1,2144042109
Zachary G. Ives,2021,1,53579654
Zhendong Su,2022,1,2102704429
Zhengyou Zhang,2013,1,2129474304
Zhi-Hua Zhou,2016,1,2286237009
Zhu Han,2023,1,2116008403
Zohar Manna,1994,1,2146370811
Zvi Galil,1995,1,1984842272
Zvi M. Kedem,1997,1,2347053213
Zygmunt J. Haas,2021,1,2044130634
Éva Tardos,1998,1,2009277913
Adi Shamir,2002,10,2201755339
Alan C. Kay,2003,10,1974749230
Alan J. Perlis,1966,10,2659867364
Alfred V. Aho,2020,10,2380581373
Allen Newell,1975,10,2126658068
Amir Pnueli,1996,10,2171343426
Andrew Barto,2024,10,1997216218
Andrew Chi-Chih Yao,2000,10,2088166175
Avi Wigderson,2023,10,31335080
Barbara Liskov,2008,10,2084056563
Butler W. Lampson,1992,10,1785551945
C. A. R. Hoare,1980,10,2052847585
Charles W. Bachman,1973,10,2315463675
Dana Scott,1976,10,2602723040
David A. Patterson,2017,10,2098984663
Dennis M. Ritchie,1983,10,2110203303
Donald E. Knuth,1974,10,2137000881
Douglas C. Engelbart,1997,10,2208808115
E. Allen Emerson,2007,10,2115834734
Edmund M. Clarke,2007,10,2129477832
Edsger W. Dijkstra,1972,10,2137842401
Edward A. Feigenbaum,1994,10,2086686599
Frederick P. Brooks,1999,10,2097474894
Geoffrey E. Hinton,2018,10,563069026
Herbert A. Simon,1975,10,2118103072
Ivan E. Sutherland,1988,10,1941499373
Jack Dongarra,2021,10,288512535
James Hardy Wilkinson,1970,10,2193746894
Jeffrey D. Ullman,2020,10,2289364316
Jim Gray,1998,10,2131537204
John Cocke,1987,10,2161752438
John E. Hopcroft,1986,10,2079447303
John L. Hennessy,2017,10,1965698830
John McCarthy,1971,10,2498471291
Joseph Sifakis,2007,10,2105927184
Judea Pearl,2011,10,2248165042
Juris Hartmanis,1993,10,327575412
Ken Thompson,1983,10,2163136642
Kenneth E. Iverson,1979,10,2470509247
Leonard M. Adleman,2002,10,2009176085
Leslie G. Valiant,2010,10,2000097935
Leslie Lamport,2013,10,2096750770
Manuel Blum,1995,10,2163096604
Martin E. Hellman,2015,10,2146312211
Marvin Minsky,1969,10,1968041664
Maurice V. Wilkes,1967,10,2224046207
Michael O. Rabin,1976,10,2144633556
Michael Stonebraker,2014,10,1998938290
Niklaus Wirth,1984,10,2327738716
Pat Hanrahan,2019,10,2225733586
Peter Naur,2005,10,587396187
Raj Reddy,1994,10,2149385398
Richard Edwin Stearns,1993,10,2102135011
Richard M. Karp,1985,10,1964658237
Richard Sutton,2024,10,3208608207
Robert E. Kahn,2004,10,2610176178
Robert E. Tarjan,1986,10,350567680
Robert W. Floyd,1978,10,2011551863
Robin Milner,1991,10,2087817183
Ronald L. Rivest,2002,10,695545146
Shafi Goldwasser,2012,10,1728759264
Silvio Micali,2012,10,699581604
Stephen A. Cook,1982,10,2098910421
Tim Berners-Lee,2016,10,2308609296
Vinton G. Cerf,2004,10,2029905547
Whitfield Diffie,2015,10,2307656538
William Kahan,1989,10,2053339767
Yann LeCun,2018,10,2053214915
Yoshua Bengio,2018,10,161269817
